ID,Página,Secção,Elemento,Texto atual,Proposta do cliente,Notas
layout.meta.title,(global),SEO / Meta,título do separador do browser,"Patrícia Nibra & Nuno Esteves | Sociedade de Agentes de Execução",,
layout.meta.description,(global),SEO / Meta,meta description (Google),"Sociedade de Agentes de Execução especializada em processos executivos. Rigor, experiência e acompanhamento profissional.",,
layout.meta.keywords,(global),SEO / Meta,palavras-chave meta,"agentes de execução, processos executivos, tramitação processual, notificações, citações, Portugal",,
header.brand,(global),Cabeçalho,texto do logo,PN&NE,,
header.nav.home,(global),Cabeçalho,Home,Home,,
header.nav.sociedade,(global),Cabeçalho,Sociedade,Sociedade,,
header.nav.servicos,(global),Cabeçalho,Serviços,Serviços,,
header.nav.informacoes,(global),Cabeçalho,Informações Úteis,Informações Úteis,,
header.nav.contactos,(global),Cabeçalho,Contactos,Contactos,,
header.cta,(global),Cabeçalho,botão Contactar,Contactar,,
footer.company.name,(global),Rodapé,nome da sociedade,"Patrícia Nibra, Nuno Esteves & Associados",,
footer.company.blurb,(global),Rodapé,parágrafo introdutório,"Sociedade de Agentes de Execução, SP, RL — OSAE n.º 128. Rigor técnico, celeridade e acompanhamento personalizado em processos executivos, em todo o território nacional.",,
footer.nav.title,(global),Rodapé,título coluna Navegação,Navegação,,
footer.contact.title,(global),Rodapé,título coluna Contactos,Contactos,,
footer.phone,(global),Rodapé,telefone,253 814 274,,
footer.address.line1,(global),Rodapé,morada linha 1,"Largo Doutor José Novais, 134, 1.º Esq.",,
footer.address.line2,(global),Rodapé,morada linha 2,4750-310 Barcelos,,
footer.copyright,(global),Rodapé,linha de copyright,"© [ano] Patrícia Nibra, Nuno Esteves & Associados. Todos os direitos reservados.",,"O ano é automático no site; só precisam rever o texto fixo."
footer.legal.privacidade,(global),Rodapé,link Política de Privacidade,Política de Privacidade,,
footer.legal.cookies,(global),Rodapé,link Política de Cookies,Política de Cookies,,
home.hero.h1,Home,Hero,título (H1),"Patrícia Nibra, Nuno Esteves & Associados",,
home.hero.subtitle,Home,Hero,subtítulo,"Sociedade de Agentes de Execução, SP, RL",,
home.hero.lead,Home,Hero,texto de apoio,"Rigor técnico, celeridade processual e acompanhamento personalizado — ao serviço da recuperação que merece.",,
home.hero.cta,Home,Hero,botão primário,Conhecer Serviços,,
home.about.h2,Home,Sobre,título secção,"Uma sociedade especializada. Uma equipa comprometida.",,
home.about.p1,Home,Sobre,parágrafo 1,"Constituída em 2014 e inscrita na OSAE com o número 128, somos uma sociedade de Agentes de Execução com sede em Barcelos e atuação em todo o território nacional. A nossa equipa é composta por juristas licenciados em Solicitadoria e Direito, garantindo o acompanhamento rigoroso de cada processo.",,
home.about.p2,Home,Sobre,parágrafo 2,"Com foco na eficiência, transparência e na mais elevada taxa de recuperação, adaptamos a nossa atuação às necessidades específicas de cada interveniente e situação.",,
home.about.values.rigor.title,Home,Sobre / Valores,título cartão,Rigor,,
home.about.values.rigor.desc,Home,Sobre / Valores,descrição,"Cada ato processual é praticado com precisão técnica, imparcialidade e estrito cumprimento da lei.",,
home.about.values.experiencia.title,Home,Sobre / Valores,título cartão,Experiência,,
home.about.values.experiencia.desc,Home,Sobre / Valores,descrição,"Mais de 10 anos de prática especializada na ação executiva, com juristas formados em Solicitadoria e Direito.",,
home.about.values.proximidade.title,Home,Sobre / Valores,título cartão,Proximidade,,
